kahveci,ürün_adı,içerik,boyut_seçenekleri,alerjenler,içerik_listesi
Gloria Jean’s,Vanilla Caramel Avalanche Chiller,Kahve+Süt+Vanilla+Karamel+Krema,Small/Regular/Large,Süt;Soya,"GJ espresso, %2 süt, Vanilla powder, caramel syrup, krema"
Gloria Jean’s,Voltage Chiller,Kahve+Süt+Kahve+Krema,Small/Regular/Large,Süt;Soya,"GJ espresso, %2 süt, coffee base, krema"
Gloria Jean’s,White Chocolate Caramel Cookie Chiller,Kahve+Süt+White Choc+Cookie+Krema,Small/Regular/Large,Süt;Soya;Sert Kabuklu Meyveler;Gluten,"GJ espresso, %2 süt, White chocolate, cookie crumbs, krema"
Gloria Jean’s,White Chocolate Cookie Chiller,Kahve+Süt+White Choc+Cookie+Krema,Small/Regular/Large,Süt;Soya;Sert Kabuklu Meyveler;Gluten,"GJ espresso, %2 süt, White chocolate, cookie crumbs, krema"
Gloria Jean’s,Banana Chiller,Meyve+Ice Cream Mix,Small/Regular/Large,Yok,"Island Oasis banana mix, ice"
Gloria Jean’s,Banana Smoothie,Meyve+Yoğurt,Small/Regular/Large,Süt,"Island Oasis banana yoğurt mix, ice"
Gloria Jean’s,Mango Chiller,Meyve+Ice Cream Mix,Small/Regular/Large,Yok,"Island Oasis mango mix, ice"
Gloria Jean’s,Mango Smoothie,Meyve+Yoğurt,Small/Regular/Large,Süt,"Island Oasis mango yoğurt mix, ice"
Gloria Jean’s,Raspberry Chiller,Meyve+Ice Cream Mix,Small/Regular/Large,Yok,"Island Oasis raspberry mix, ice"
Gloria Jean’s,Raspberry Smoothie,Meyve+Yoğurt,Small/Regular/Large,Süt,"Island Oasis raspberry yoğurt mix, ice"
Gloria Jean’s,Strawberry Chiller,Meyve+Ice Cream Mix,Small/Regular/Large,Yok,"Island Oasis strawberry mix, ice"
Gloria Jean’s,Strawberry Smoothie,Meyve+Yoğurt,Small/Regular/Large,Süt,"Island Oasis strawberry yoğurt mix, ice"
Gloria Jean’s,Wildberry Chiller,Meyve+Ice Cream Mix,Small/Regular/Large,Yok,"Island Oasis wildberry mix, ice"
Gloria Jean’s,Wildberry Smoothie,Meyve+Yoğurt,Small/Regular/Large,Süt,"Island Oasis wildberry yoğurt mix, ice"
